Store,DayOfWeek,Date,Sales,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,WeekOfYear,competition_open,PromoOpen,lag1,lag7,rolling_3,rolling_7,diff1,diff7
19,3,2015-09-02,,1.0,1,0,0,a,c,3240.0,,,1.0,22.0,2011.0,"Mar,Jun,Sept,Dec",2015.0,9.0,36.0,,51.5,,8825.0,8234.0,8071.6,,
20,6,2015-08-01,,1.0,0,0,0,d,a,2340.0,5.0,2009.0,1.0,40.0,2014.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,75.0,9.75,9593.0,6588.0,10900.0,8775.285714285714,,
20,1,2015-08-17,,1.0,1,0,1,d,a,2340.0,5.0,2009.0,1.0,40.0,2014.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,75.0,10.5,,0.0,10986.0,9139.833333333334,,
20,3,2015-09-02,,1.0,1,0,1,d,a,2340.0,5.0,2009.0,1.0,40.0,2014.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,76.0,11.0,,11255.0,9593.0,10967.8,,
21,6,2015-08-01,,1.0,0,0,0,c,c,550.0,10.0,1999.0,1.0,45.0,2009.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,190.0,68.5,9515.0,5808.0,7945.666666666667,6750.0,,
21,1,2015-08-17,,1.0,1,0,1,c,c,550.0,10.0,1999.0,1.0,45.0,2009.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,190.0,69.25,,0.0,8250.0,6907.0,,
21,3,2015-09-02,,1.0,1,0,1,c,c,550.0,10.0,1999.0,1.0,45.0,2009.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,191.0,69.75,,9657.0,9515.0,8288.4,,
22,6,2015-08-01,,1.0,0,0,0,a,a,1040.0,,,1.0,22.0,2012.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,,38.25,6566.0,3540.0,5934.0,4888.142857142857,,
22,1,2015-08-17,,1.0,1,0,1,a,a,1040.0,,,1.0,22.0,2012.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,,39.0,,0.0,6125.5,5112.833333333333,,
22,3,2015-09-02,,1.0,1,0,1,a,a,1040.0,,,1.0,22.0,2012.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,,39.5,,7114.0,6566.0,6135.4,,
23,6,2015-08-01,,1.0,0,0,0,d,a,4060.0,8.0,2005.0,0.0,,,,2015.0,8.0,31.0,120.0,,7273.0,4191.0,6464.333333333333,5427.857142857143,,
23,1,2015-08-17,,1.0,1,0,1,d,a,4060.0,8.0,2005.0,0.0,,,,2015.0,8.0,34.0,120.0,,,0.0,6537.0,5634.0,,
23,3,2015-09-02,,1.0,1,0,1,d,a,4060.0,8.0,2005.0,0.0,,,,2015.0,9.0,36.0,121.0,,,8488.0,7273.0,6760.8,,
24,6,2015-08-01,,1.0,0,0,0,a,c,4590.0,3.0,2000.0,1.0,40.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,185.0,45.75,14190.0,5916.0,11997.0,9447.42857142857,,
24,1,2015-08-17,,1.0,1,0,0,a,c,4590.0,3.0,2000.0,1.0,40.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,185.0,46.5,,0.0,12814.5,10036.0,,
24,3,2015-09-02,,1.0,1,0,0,a,c,4590.0,3.0,2000.0,1.0,40.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,186.0,47.0,,13096.0,14190.0,12043.2,,
25,6,2015-08-01,,1.0,0,0,0,c,a,430.0,4.0,2003.0,0.0,,,,2015.0,8.0,31.0,148.0,,14180.0,7285.0,11993.0,9419.285714285714,,
25,1,2015-08-17,,1.0,1,0,0,c,a,430.0,4.0,2003.0,0.0,,,,2015.0,8.0,34.0,148.0,,,0.0,12726.0,9775.0,,
25,3,2015-09-02,,1.0,1,0,0,c,a,430.0,4.0,2003.0,0.0,,,,2015.0,9.0,36.0,149.0,,,11806.0,14180.0,11730.0,,
27,6,2015-08-01,,1.0,0,0,0,a,a,60.0,1.0,2005.0,1.0,5.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,127.0,54.5,13213.0,5120.0,11267.0,8885.57142857143,,
27,1,2015-08-17,,1.0,1,0,0,a,a,60.0,1.0,2005.0,1.0,5.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,127.0,55.25,,0.0,11741.5,9513.166666666666,,
27,3,2015-09-02,,1.0,1,0,0,a,a,60.0,1.0,2005.0,1.0,5.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,128.0,55.75,,12322.0,13213.0,11415.8,,
29,6,2015-08-01,,1.0,0,0,0,d,c,2170.0,,,0.0,,,,2015.0,8.0,31.0,,,9411.0,6084.0,8338.0,7315.285714285715,,
29,1,2015-08-17,,1.0,1,0,0,d,c,2170.0,,,0.0,,,,2015.0,8.0,34.0,,,,0.0,8725.0,7520.5,,
29,3,2015-09-02,,1.0,1,0,0,d,c,2170.0,,,0.0,,,,2015.0,9.0,36.0,,,,11659.0,9411.0,9024.6,,
30,6,2015-08-01,,1.0,0,0,0,a,a,40.0,2.0,2014.0,1.0,10.0,2014.0,"Mar,Jun,Sept,Dec",2015.0,8.0,31.0,18.0,17.25,4776.0,2513.0,4736.0,3840.1428571428573,,
30,1,2015-08-17,,1.0,1,0,0,a,a,40.0,2.0,2014.0,1.0,10.0,2014.0,"Mar,Jun,Sept,Dec",2015.0,8.0,34.0,18.0,18.0,,0.0,4828.5,4061.3333333333335,,
30,3,2015-09-02,,1.0,1,0,0,a,a,40.0,2.0,2014.0,1.0,10.0,2014.0,"Mar,Jun,Sept,Dec",2015.0,9.0,36.0,19.0,18.5,,5235.0,4776.0,4873.6,,
31,6,2015-08-01,,1.0,0,0,0,d,c,9800.0,7.0,2012.0,0.0,,,,2015.0,8.0,31.0,37.0,,7248.0,5403.0,6647.333333333333,5590.714285714285,,
31,1,2015-08-17,,1.0,1,0,1,d,c,9800.0,7.0,2012.0,0.0,,,,2015.0,8.0,34.0,37.0,,,0.0,6980.0,5622.0,,
31,3,2015-09-02,,1.0,1,0,0,d,c,9800.0,7.0,2012.0,0.0,,,,2015.0,9.0,36.0,38.0,,,8054.0,7248.0,6746.4,,
32,6,2015-08-01,,1.0,0,0,0,a,a,2910.0,,,1.0,45.0,2009.0,"Feb,May,Aug,Nov",2015.0,8.0,31.0,,68.5,6395.0,2532.0,5681.0,4457.285714285715,,
32,1,2015-08-17,,1.0,1,0,1,a,a,2910.0,,,1.0,45.0,2009.0,"Feb,May,Aug,Nov",2015.0,8.0,34.0,,69.25,,0.0,6087.0,4778.166666666667,,
32,3,2015-09-02,,1.0,1,0,1,a,a,2910.0,,,1.0,45.0,2009.0,"Feb,May,Aug,Nov",2015.0,9.0,36.0,,69.75,,5947.0,6395.0,5733.8,,
33,6,2015-08-01,,1.0,0,0,0,a,c,1320.0,5.0,2013.0,0.0,,,,2015.0,8.0,31.0,27.0,,10789.0,7188.0,8654.333333333334,7326.428571428572,,
33,1,2015-08-17,,1.0,1,0,0,a,c,1320.0,5.0,2013.0,0.0,,,,2015.0,8.0,34.0,27.0,,,0.0,9467.5,7349.5,,
33,3,2015-09-02,,1.0,1,0,0,a,c,1320.0,5.0,2013.0,0.0,,,,2015.0,9.0,36.0,28.0,,,9866.0,10789.0,8819.4,,
35,6,2015-08-01,,1.0,0,0,0,d,c,7660.0,10.0,2000.0,1.0,1.0,2012.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,178.0,43.5,12412.0,6557.0,11378.0,9329.714285714286,,
35,1,2015-08-17,,1.0,1,0,0,d,c,7660.0,10.0,2000.0,1.0,1.0,2012.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,178.0,44.25,,0.0,11750.0,9791.833333333334,,
35,3,2015-09-02,,1.0,1,0,0,d,c,7660.0,10.0,2000.0,1.0,1.0,2012.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,179.0,44.75,,13740.0,12412.0,11750.2,,
36,6,2015-08-01,,1.0,0,0,0,a,c,540.0,6.0,2003.0,1.0,40.0,2014.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,146.0,9.75,12422.0,10830.0,12113.0,10085.285714285714,,
36,1,2015-08-17,,1.0,1,0,1,a,c,540.0,6.0,2003.0,1.0,40.0,2014.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,146.0,10.5,,0.0,12188.5,9961.166666666666,,
36,3,2015-09-02,,1.0,1,0,1,a,c,540.0,6.0,2003.0,1.0,40.0,2014.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,147.0,11.0,,12582.0,12422.0,11953.4,,
38,6,2015-08-01,,1.0,0,0,0,d,a,1090.0,4.0,2007.0,0.0,,,,2015.0,8.0,31.0,100.0,,7434.0,5559.0,6873.333333333333,5941.142857142857,,
38,1,2015-08-17,,1.0,1,0,0,d,a,1090.0,4.0,2007.0,0.0,,,,2015.0,8.0,34.0,100.0,,,0.0,7012.5,6004.833333333333,,
38,3,2015-09-02,,1.0,1,0,0,d,a,1090.0,4.0,2007.0,0.0,,,,2015.0,9.0,36.0,101.0,,,8759.0,7434.0,7205.8,,
39,6,2015-08-01,,1.0,0,0,0,a,a,260.0,10.0,2006.0,1.0,31.0,2013.0,"Feb,May,Aug,Nov",2015.0,8.0,31.0,106.0,24.0,8336.0,2022.0,6562.333333333333,4991.142857142857,,
39,1,2015-08-17,,1.0,1,0,0,a,a,260.0,10.0,2006.0,1.0,31.0,2013.0,"Feb,May,Aug,Nov",2015.0,8.0,34.0,106.0,24.75,,0.0,7035.0,5486.0,,
39,3,2015-09-02,,1.0,1,0,0,a,a,260.0,10.0,2006.0,1.0,31.0,2013.0,"Feb,May,Aug,Nov",2015.0,9.0,36.0,107.0,25.25,,7084.0,8336.0,6583.2,,
40,6,2015-08-01,,1.0,0,0,0,a,a,180.0,,,1.0,45.0,2009.0,"Feb,May,Aug,Nov",2015.0,8.0,31.0,,68.5,5464.0,3496.0,5219.666666666667,4260.571428571428,,
40,1,2015-08-17,,1.0,1,0,0,a,a,180.0,,,1.0,45.0,2009.0,"Feb,May,Aug,Nov",2015.0,8.0,34.0,,69.25,,0.0,5327.5,4388.0,,
40,3,2015-09-02,,1.0,1,0,0,a,a,180.0,,,1.0,45.0,2009.0,"Feb,May,Aug,Nov",2015.0,9.0,36.0,,69.75,,5282.0,5464.0,5265.6,,
41,6,2015-08-01,,1.0,0,0,0,d,c,1180.0,,,1.0,31.0,2013.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,,24.0,6938.0,6217.0,6307.333333333333,5433.428571428572,,
41,1,2015-08-17,,1.0,1,0,1,d,c,1180.0,,,1.0,31.0,2013.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,,24.75,,0.0,6624.5,5302.833333333333,,
41,3,2015-09-02,,1.0,1,0,1,d,c,1180.0,,,1.0,31.0,2013.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,,25.25,,7295.0,6938.0,6363.4,,
42,6,2015-08-01,,1.0,0,0,0,a,c,290.0,,,1.0,40.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,,45.75,11946.0,6044.0,11243.666666666666,9013.0,,
42,1,2015-08-17,,1.0,1,0,0,a,c,290.0,,,1.0,40.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,,46.5,,0.0,11399.5,9507.833333333334,,
42,3,2015-09-02,,1.0,1,0,0,a,c,290.0,,,1.0,40.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,,47.0,,12420.0,11946.0,11409.4,,
43,6,2015-08-01,,1.0,0,0,0,d,a,4880.0,,,1.0,37.0,2009.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,,70.5,8096.0,3931.0,7012.666666666667,5852.142857142857,,
43,1,2015-08-17,,1.0,1,0,0,d,a,4880.0,,,1.0,37.0,2009.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,,71.25,,0.0,7039.0,6172.333333333333,,
43,3,2015-09-02,,1.0,1,0,0,d,a,4880.0,,,1.0,37.0,2009.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,,71.75,,8816.0,8096.0,7406.8,,
45,6,2015-08-01,,1.0,0,0,0,d,a,9710.0,2.0,2014.0,0.0,,,,2015.0,8.0,31.0,18.0,,6301.0,5828.0,5901.666666666667,5212.428571428572,,
45,1,2015-08-17,,1.0,1,0,1,d,a,9710.0,2.0,2014.0,0.0,,,,2015.0,8.0,34.0,18.0,,,0.0,6182.0,5109.833333333333,,
45,3,2015-09-02,,1.0,1,0,1,d,a,9710.0,2.0,2014.0,0.0,,,,2015.0,9.0,36.0,19.0,,,7450.0,6301.0,6131.8,,
46,6,2015-08-01,,1.0,0,0,0,c,a,1200.0,9.0,2005.0,1.0,14.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,119.0,52.25,7628.0,5257.0,7213.333333333333,6192.857142857143,,
46,1,2015-08-17,,1.0,1,0,1,c,a,1200.0,9.0,2005.0,1.0,14.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,119.0,53.0,,0.0,7342.5,6348.833333333333,,
46,3,2015-09-02,,1.0,1,0,1,c,a,1200.0,9.0,2005.0,1.0,14.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,120.0,53.5,,10068.0,7628.0,7618.6,,
47,6,2015-08-01,,1.0,0,0,0,a,c,270.0,4.0,2013.0,1.0,14.0,2013.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,28.0,28.25,9379.0,4845.0,8338.333333333334,6651.285714285715,,
47,1,2015-08-17,,1.0,1,0,1,a,c,270.0,4.0,2013.0,1.0,14.0,2013.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,28.0,29.0,,0.0,8482.0,6952.333333333333,,
47,3,2015-09-02,,1.0,1,0,0,a,c,270.0,4.0,2013.0,1.0,14.0,2013.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,29.0,29.5,,8633.0,9379.0,8342.8,,
48,6,2015-08-01,,1.0,0,0,0,a,a,1060.0,5.0,2012.0,0.0,,,,2015.0,8.0,31.0,39.0,,3874.0,2090.0,3605.6666666666665,2987.1428571428573,,
48,1,2015-08-17,,1.0,1,0,1,a,a,1060.0,5.0,2012.0,0.0,,,,2015.0,8.0,34.0,39.0,,,0.0,3585.5,3136.6666666666665,,
48,3,2015-09-02,,1.0,1,0,0,a,a,1060.0,5.0,2012.0,0.0,,,,2015.0,9.0,36.0,40.0,,,4405.0,3874.0,3764.0,,
49,6,2015-08-01,,1.0,0,0,0,d,c,18010.0,9.0,2007.0,0.0,,,,2015.0,8.0,31.0,95.0,,10310.0,8302.0,9665.666666666666,8222.0,,
49,1,2015-08-17,,1.0,1,0,1,d,c,18010.0,9.0,2007.0,0.0,,,,2015.0,8.0,34.0,95.0,,,0.0,9653.0,8208.666666666666,,
49,3,2015-09-02,,1.0,1,0,1,d,c,18010.0,9.0,2007.0,0.0,,,,2015.0,9.0,36.0,96.0,,,10561.0,10310.0,9850.4,,
50,6,2015-08-01,,1.0,0,0,0,d,a,6260.0,11.0,2009.0,0.0,,,,2015.0,8.0,31.0,69.0,,5729.0,4356.0,5333.0,4593.428571428572,,
50,1,2015-08-17,,1.0,1,0,1,d,a,6260.0,11.0,2009.0,0.0,,,,2015.0,8.0,34.0,69.0,,,0.0,5526.5,4633.0,,
50,3,2015-09-02,,1.0,1,0,1,d,a,6260.0,11.0,2009.0,0.0,,,,2015.0,9.0,36.0,70.0,,,6684.0,5729.0,5559.6,,
51,6,2015-08-01,,1.0,0,0,0,a,c,10570.0,7.0,2013.0,1.0,9.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,25.0,53.5,9198.0,7902.0,8338.666666666666,7062.428571428572,,
51,1,2015-08-17,,1.0,1,0,1,a,c,10570.0,7.0,2013.0,1.0,9.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,25.0,54.25,,0.0,8739.0,6922.5,,
51,3,2015-09-02,,1.0,1,0,1,a,c,10570.0,7.0,2013.0,1.0,9.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,26.0,54.75,,8672.0,9198.0,8307.0,,
52,6,2015-08-01,,1.0,0,0,0,d,c,450.0,4.0,2014.0,1.0,39.0,2010.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,16.0,58.0,8031.0,6117.0,7546.333333333333,6523.0,,
52,1,2015-08-17,,1.0,1,0,1,d,c,450.0,4.0,2014.0,1.0,39.0,2010.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,16.0,58.75,,0.0,7527.5,6590.666666666667,,
52,3,2015-09-02,,1.0,1,0,1,d,c,450.0,4.0,2014.0,1.0,39.0,2010.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,17.0,59.25,,9118.0,8031.0,7908.8,,
53,6,2015-08-01,,1.0,0,0,0,a,c,30360.0,9.0,2013.0,0.0,,,,2015.0,8.0,31.0,23.0,,7540.0,2468.0,6929.333333333333,5181.571428571428,,
53,1,2015-08-17,,1.0,1,0,1,a,c,30360.0,9.0,2013.0,0.0,,,,2015.0,8.0,34.0,23.0,,,0.0,7168.5,5633.833333333333,,
53,3,2015-09-02,,1.0,1,0,0,a,c,30360.0,9.0,2013.0,0.0,,,,2015.0,9.0,36.0,24.0,,,6853.0,7540.0,6760.6,,
56,6,2015-08-01,,1.0,0,0,1,d,c,6620.0,3.0,2012.0,1.0,10.0,2014.0,"Mar,Jun,Sept,Dec",2015.0,8.0,31.0,41.0,17.25,10022.0,9229.0,9258.333333333334,7909.142857142857,,
56,1,2015-08-17,,1.0,1,0,1,d,c,6620.0,3.0,2012.0,1.0,10.0,2014.0,"Mar,Jun,Sept,Dec",2015.0,8.0,34.0,41.0,18.0,,0.0,9363.5,7689.166666666667,,
56,3,2015-09-02,,1.0,1,0,1,d,c,6620.0,3.0,2012.0,1.0,10.0,2014.0,"Mar,Jun,Sept,Dec",2015.0,9.0,36.0,42.0,18.5,,9960.0,10022.0,9227.0,,
58,6,2015-08-01,,1.0,0,0,0,a,c,7340.0,5.0,2008.0,1.0,27.0,2012.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,87.0,37.0,8581.0,6841.0,8404.666666666666,7327.714285714285,,
58,1,2015-08-17,,1.0,1,0,1,a,c,7340.0,5.0,2008.0,1.0,27.0,2012.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,87.0,37.75,,0.0,8507.0,7408.833333333333,,
58,3,2015-09-02,,1.0,1,0,1,a,c,7340.0,5.0,2008.0,1.0,27.0,2012.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,88.0,38.25,,10750.0,8581.0,8890.6,,
61,6,2015-08-01,,1.0,0,0,0,a,c,350.0,12.0,2007.0,1.0,1.0,2012.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,92.0,43.5,5572.0,4675.0,6066.666666666667,5311.857142857143,,
61,1,2015-08-17,,1.0,1,0,1,a,c,350.0,12.0,2007.0,1.0,1.0,2012.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,92.0,44.25,,0.0,5720.0,5418.0,,
61,3,2015-09-02,,1.0,1,0,1,a,c,350.0,12.0,2007.0,1.0,1.0,2012.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,93.0,44.75,,7911.0,5572.0,6501.6,,
62,6,2015-08-01,,1.0,0,0,0,a,a,2050.0,,,0.0,,,,2015.0,8.0,31.0,,,7495.0,3043.0,7165.333333333333,5821.571428571428,,
62,1,2015-08-17,,1.0,1,0,0,a,a,2050.0,,,0.0,,,,2015.0,8.0,34.0,,,,0.0,7338.0,6284.666666666667,,
